Ticker,Name
FME.DE,Fresenius Medical Care AG & Co. KGaA
BAYN.DE,Bayer Aktiengesellschaft
VOW3.DE,Volkswagen AG
SY1.DE,Symrise AG
CON.DE,Continental Aktiengesellschaft
MTX.DE,MTU Aero Engines AG
ALV.DE,Allianz SE
FRE.DE,Fresenius SE & Co. KGaA
AIR.DE,Airbus SE
DHER.DE,Delivery Hero SE
ADS.DE,adidas AG
DB1.DE,Deutsche B̦rse AG
PUM.DE,PUMA SE
SHL.DE,Siemens Healthineers AG
DPW.DE,Deutsche Post AG
BAS.DE,BASF SE
DTE.DE,Deutsche Telekom AG
HEI.DE,HeidelbergCement AG
SIE.DE,Siemens Aktiengesellschaft
ZAL.DE,Zalando SE
IFX.DE,Infineon Technologies AG
1COV.DE,Covestro AG
BEI.DE,Beiersdorf Aktiengesellschaft
BMW.DE,Bayerische Motoren Werke Aktiengesellschaft
MRK.DE,MERCK Kommanditgesellschaft auf Aktien
DBK.DE,Deutsche Bank Aktiengesellschaft
RWE.DE,RWE Aktiengesellschaft
LIN.DE,Linde plc
ENR.DE,Siemens Energy AG
HFG.DE,HelloFresh SE
